,lr,train_loss,valid_loss
0,1e-05,0.5086025948860367,0.22778630016183532
1,1e-05,0.28167691515504767,0.16380582254271453
2,1e-05,0.22907435302903237,0.15324356799988617
3,1e-05,0.19773491210527339,0.1538931353126715
4,1e-05,0.19167438494688838,0.14083117785419708
5,1e-05,0.18018641651159276,0.1341848962673551
6,1e-05,0.16201101529331968,0.1388400944204875
7,1e-05,0.16658332040018517,0.13217098131743232
8,1e-05,0.14729128153321966,0.12584776177076262
9,1e-05,0.14624011330364367,0.11721107842568165
10,1e-05,0.1384334507107476,0.12151020804746583
11,1e-05,0.13941099309695332,0.13230654717387075
12,1.0000000000000002e-06,0.12785496971565943,0.12041550587974206
13,1.0000000000000002e-06,0.12089631291143402,0.11848068428768005
14,1.0000000000000002e-07,0.12591785403474065,0.11895105525845907
15,1.0000000000000002e-07,0.11983962562782396,0.11643502559834551
16,1.0000000000000002e-07,0.12402558229738532,0.11716824947573223
17,1.0000000000000002e-07,0.11696850997333046,0.11645936378868191
18,1.0000000000000004e-08,0.11916123388158635,0.1165603739000069
19,1.0000000000000004e-08,0.12513429866599102,0.11743510545565118
