,lr,train_loss,valid_loss
0,1e-05,0.4943691187547022,0.22383511376369147
1,1e-05,0.30292459901878294,0.21125477868484432
2,1e-05,0.2526677475089785,0.15284074206040238
3,1e-05,0.21734693402099922,0.155537061190767
4,1e-05,0.19768941749408006,0.14349113054951976
5,1e-05,0.1833957002786503,0.14331486682614786
6,1e-05,0.17753726596807265,0.1455754731726165
7,1e-05,0.17543961660960702,0.1286179083068369
8,1e-05,0.1533570360019082,0.12945862972742794
9,1e-05,0.15976096988884275,0.11659959707954136
10,1e-05,0.13939394074063222,0.13180052382505347
11,1e-05,0.1426221728363371,0.13381866629153938
12,1.0000000000000002e-06,0.1312772949512818,0.12046577398011055
13,1.0000000000000002e-06,0.12454244010893156,0.11726741939967436
14,1.0000000000000002e-07,0.12691190405201744,0.12012377748964383
15,1.0000000000000002e-07,0.1238608471864529,0.11923743014354687
16,1.0000000000000004e-08,0.12771971057094356,0.11682344963196299
17,1.0000000000000004e-08,0.11818054417651606,0.11811679597047647
18,1.0000000000000004e-08,0.12180518090097801,0.11697144596766118
19,1.0000000000000004e-08,0.1230838379727734,0.12074385976314411
